travel_id,employee_id,travel_date,travel_type,vehicle_type,distance,activity_unit,purpose,origin_state,destination_state
1034,E1050,2025-01-09,Employee Commuting,Passenger Car,14.2,vehicle-mile,Commute,Other,Other
2885,E1046,2025-01-09,Employee Commuting,Passenger Car,25.1,vehicle-mile,Commute,California,California
3619,E1026,2025-01-09,Employee Commuting,Passenger Car,36.8,vehicle-mile,Commute,Other,Other
1734,E1052,2025-01-09,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1593.3,passenger-mile,Site Visit,California,Washington
3724,E1041,2025-01-09,Employee Commuting,Passenger Car,9.1,vehicle-mile,Commute,Colorado,Colorado
4913,E1049,2025-01-09,Business Travel,Light-Duty Truck,11.4,vehicle-mile,Off-site Meeting,New York,Texas
4777,E1066,2025-01-09,Employee Commuting,Passenger Car,20.5,vehicle-mile,Commute,California,California
2424,E1028,2025-01-09,Employee Commuting,Bus,34.2,passenger-mile,Commute,California,California
4051,E1051,2025-01-09,Employee Commuting,Motorcycle,10.8,vehicle-mile,Commute,Colorado,Colorado
2025,E1005,2025-01-09,Employee Commuting,Bus,9.7,passenger-mile,Commute,Other,Other
4331,E1038,2025-01-10,Employee Commuting,Passenger Car,26.6,vehicle-mile,Commute,New York,New York
1147,E1092,2025-01-10,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1054.2,passenger-mile,Client Meeting,New York,Texas
4107,E1090,2025-01-10,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",21.4,passenger-mile,Commute,California,California
1187,E1086,2025-01-10,Business Travel,Light-Duty Truck,48.1,vehicle-mile,Client Meeting,Washington,Texas
3171,E1068,2025-01-10,Employee Commuting,Bus,8.5,passenger-mile,Commute,California,California
1192,E1028,2025-01-10,Employee Commuting,Passenger Car,32.6,vehicle-mile,Commute,California,California
1928,E1092,2025-01-10,Employee Commuting,Passenger Car,23.2,vehicle-mile,Commute,New York,New York
1231,E1079,2025-01-10,Business Travel,"Transit Rail (i.e. Subway, Tram)",10.8,passenger-mile,Site Visit,California,Georgia
926,E1066,2025-01-10,Business Travel,Air Travel - Short Haul (< 300 miles),110.4,passenger-mile,Client Meeting,California,Other
1434,E1012,2025-01-10,Employee Commuting,Bus,22.2,passenger-mile,Commute,California,California
4273,E1009,2025-01-10,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",37.7,passenger-mile,Commute,Washington,Washington
3328,E1022,2025-01-10,Employee Commuting,Passenger Car,4.8,vehicle-mile,Commute,New York,New York
1869,E1079,2025-01-10,Employee Commuting,Light-Duty Truck,20.4,vehicle-mile,Commute,New York,New York
4496,E1047,2025-01-10,Employee Commuting,Bus,31.1,passenger-mile,Commute,California,California
1675,E1090,2025-01-11,Business Travel,Air Travel - Short Haul (< 300 miles),162.0,passenger-mile,Off-site Meeting,Washington,California
761,E1082,2025-01-11,Employee Commuting,Passenger Car,4.8,vehicle-mile,Commute,Texas,Texas
1894,E1046,2025-01-11,Employee Commuting,Passenger Car,22.5,vehicle-mile,Commute,Colorado,Colorado
4381,E1085,2025-01-11,Employee Commuting,Commuter Rail,16.5,passenger-mile,Commute,Other,Other
4863,E1072,2025-01-11,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1443.1,passenger-mile,Conference,Washington,Other
974,E1051,2025-01-11,Employee Commuting,Commuter Rail,25.3,passenger-mile,Commute,Texas,Texas
3545,E1099,2025-01-11,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",22.7,passenger-mile,Commute,Florida,Florida
3539,E1031,2025-01-11,Business Travel,Bus,19.2,passenger-mile,Off-site Meeting,Washington,Texas
4335,E1003,2025-01-11,Employee Commuting,Light-Duty Truck,32.9,vehicle-mile,Commute,California,California
2523,E1055,2025-01-11,Employee Commuting,Passenger Car,25.1,vehicle-mile,Commute,New York,New York
1325,E1099,2025-01-11,Employee Commuting,Passenger Car,17.5,vehicle-mile,Commute,Washington,Washington
4067,E1017,2025-01-11,Employee Commuting,Motorcycle,8.4,vehicle-mile,Commute,Georgia,Georgia
3501,E1017,2025-01-11,Employee Commuting,Passenger Car,34.0,vehicle-mile,Commute,Illinois,Illinois
3363,E1015,2025-01-11,Employee Commuting,Motorcycle,5.6,vehicle-mile,Commute,California,California
4618,E1041,2025-01-11,Employee Commuting,Passenger Car,15.5,vehicle-mile,Commute,Florida,Florida
4162,E1005,2025-01-12,Employee Commuting,Passenger Car,5.2,vehicle-mile,Commute,California,California
4174,E1038,2025-01-12,Employee Commuting,Commuter Rail,39.2,passenger-mile,Commute,Florida,Florida
216,E1038,2025-01-12,Employee Commuting,Passenger Car,27.1,vehicle-mile,Commute,California,California
4617,E1091,2025-01-12,Business Travel,Passenger Car,7.4,vehicle-mile,Conference,California,Illinois
4422,E1005,2025-01-12,Employee Commuting,Light-Duty Truck,9.1,vehicle-mile,Commute,Georgia,Georgia
250,E1070,2025-01-12,Employee Commuting,Passenger Car,24.6,vehicle-mile,Commute,California,California
3644,E1047,2025-01-12,Employee Commuting,Bus,33.4,passenger-mile,Commute,Texas,Texas
2840,E1073,2025-01-12,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1145.7,passenger-mile,Site Visit,Washington,Georgia
2774,E1022,2025-01-12,Employee Commuting,Passenger Car,28.8,vehicle-mile,Commute,California,California
4482,E1079,2025-01-12,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",429.0,passenger-mile,Client Meeting,Florida,Illinois
2835,E1032,2025-01-12,Business Travel,Light-Duty Truck,58.7,vehicle-mile,Conference,New York,Texas
231,E1041,2025-01-12,Employee Commuting,Commuter Rail,25.0,passenger-mile,Commute,California,California
2786,E1014,2025-01-12,Employee Commuting,Passenger Car,33.7,vehicle-mile,Commute,Georgia,Georgia
959,E1055,2025-01-13,Business Travel,Air Travel - Long Haul (>= 2300 miles),3824.4,passenger-mile,Client Meeting,Massachusetts,Illinois
4593,E1051,2025-01-13,Employee Commuting,Passenger Car,7.7,vehicle-mile,Commute,California,California
3887,E1073,2025-01-13,Employee Commuting,Passenger Car,37.6,vehicle-mile,Commute,New York,New York
2780,E1067,2025-01-13,Business Travel,Air Travel - Short Haul (< 300 miles),249.7,passenger-mile,Client Meeting,New York,New York
2628,E1008,2025-01-13,Employee Commuting,Light-Duty Truck,23.1,vehicle-mile,Commute,California,California
2839,E1072,2025-01-13,Employee Commuting,Passenger Car,11.1,vehicle-mile,Commute,New York,New York
804,E1031,2025-01-13,Employee Commuting,Passenger Car,27.9,vehicle-mile,Commute,Other,Other
2065,E1005,2025-01-13,Employee Commuting,Passenger Car,11.1,vehicle-mile,Commute,California,California
3745,E1048,2025-01-13,Employee Commuting,Passenger Car,28.2,vehicle-mile,Commute,Massachusetts,Massachusetts
3027,E1096,2025-01-13,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1456.2,passenger-mile,Client Meeting,Illinois,New York
3719,E1079,2025-01-13,Employee Commuting,Passenger Car,27.6,vehicle-mile,Commute,California,California
2415,E1006,2025-01-13,Employee Commuting,Passenger Car,29.2,vehicle-mile,Commute,Massachusetts,Massachusetts
468,E1099,2025-01-13,Employee Commuting,Passenger Car,16.7,vehicle-mile,Commute,Texas,Texas
3120,E1095,2025-01-13,Employee Commuting,Passenger Car,26.7,vehicle-mile,Commute,Washington,Washington
1485,E1029,2025-01-13,Employee Commuting,Bus,37.5,passenger-mile,Commute,California,California
3153,E1069,2025-01-13,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",910.5,passenger-mile,Conference,California,California
125,E1033,2025-01-13,Employee Commuting,Passenger Car,23.3,vehicle-mile,Commute,Texas,Texas
1617,E1020,2025-01-13,Employee Commuting,Motorcycle,15.4,vehicle-mile,Commute,California,California
2030,E1003,2025-01-14,Employee Commuting,Bus,24.2,passenger-mile,Commute,Georgia,Georgia
4750,E1081,2025-01-14,Business Travel,Commuter Rail,58.9,passenger-mile,Off-site Meeting,California,Other
4233,E1008,2025-01-14,Business Travel,Air Travel - Short Haul (< 300 miles),176.9,passenger-mile,Client Meeting,California,Texas
4035,E1027,2025-01-14,Business Travel,Intercity Rail - Northeast Corridor,130.6,passenger-mile,Client Meeting,Other,Florida
1471,E1093,2025-01-14,Business Travel,Air Travel - Short Haul (< 300 miles),269.1,passenger-mile,Conference,Massachusetts,Other
4926,E1001,2025-01-14,Business Travel,Intercity Rail - Other Routes,708.9,passenger-mile,Conference,New York,California
2153,E1086,2025-01-14,Business Travel,Air Travel - Long Haul (>= 2300 miles),3025.4,passenger-mile,Off-site Meeting,California,Massachusetts
2960,E1065,2025-01-14,Employee Commuting,Bus,29.1,passenger-mile,Commute,California,California
4937,E1098,2025-01-14,Employee Commuting,Passenger Car,11.9,vehicle-mile,Commute,California,California
3388,E1100,2025-01-14,Business Travel,Air Travel - Long Haul (>= 2300 miles),3610.0,passenger-mile,Client Meeting,Massachusetts,Colorado
2209,E1009,2025-01-14,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",695.4,passenger-mile,Off-site Meeting,Texas,Massachusetts
675,E1006,2025-01-14,Employee Commuting,Bus,23.8,passenger-mile,Commute,California,California
4351,E1070,2025-01-14,Employee Commuting,Passenger Car,36.8,vehicle-mile,Commute,California,California
534,E1039,2025-01-14,Employee Commuting,Motorcycle,26.4,vehicle-mile,Commute,Other,Other
939,E1030,2025-01-14,Employee Commuting,Passenger Car,23.1,vehicle-mile,Commute,New York,New York
606,E1021,2025-01-14,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",29.5,passenger-mile,Commute,Other,Other
4187,E1063,2025-01-15,Employee Commuting,Passenger Car,14.5,vehicle-mile,Commute,Other,Other
1819,E1012,2025-01-15,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1593.1,passenger-mile,Conference,California,Colorado
4933,E1025,2025-01-15,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",35.7,passenger-mile,Commute,New York,New York
3794,E1052,2025-01-15,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",27.9,passenger-mile,Commute,California,California
1938,E1034,2025-01-15,Business Travel,Passenger Car,73.5,vehicle-mile,Conference,Colorado,Colorado
3470,E1075,2025-01-15,Employee Commuting,Passenger Car,26.0,vehicle-mile,Commute,California,California
2935,E1097,2025-01-15,Employee Commuting,Light-Duty Truck,21.6,vehicle-mile,Commute,Florida,Florida
1491,E1069,2025-01-15,Employee Commuting,Passenger Car,12.7,vehicle-mile,Commute,California,California
2487,E1069,2025-01-15,Business Travel,Air Travel - Long Haul (>= 2300 miles),4096.1,passenger-mile,Conference,California,Other
2103,E1069,2025-01-15,Employee Commuting,Passenger Car,28.3,vehicle-mile,Commute,Texas,Texas
2183,E1006,2025-01-16,Employee Commuting,Passenger Car,8.7,vehicle-mile,Commute,California,California
1812,E1094,2025-01-16,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",39.1,passenger-mile,Commute,Other,Other
4254,E1031,2025-01-16,Employee Commuting,Passenger Car,14.3,vehicle-mile,Commute,California,California
4359,E1012,2025-01-16,Employee Commuting,Passenger Car,25.0,vehicle-mile,Commute,Colorado,Colorado
2194,E1043,2025-01-16,Employee Commuting,Passenger Car,27.2,vehicle-mile,Commute,Illinois,Illinois
1057,E1041,2025-01-16,Business Travel,"Transit Rail (i.e. Subway, Tram)",63.4,passenger-mile,Site Visit,Florida,Illinois
3977,E1050,2025-01-16,Business Travel,Air Travel - Long Haul (>= 2300 miles),2554.3,passenger-mile,Off-site Meeting,New York,Colorado
3136,E1072,2025-01-16,Employee Commuting,Light-Duty Truck,35.5,vehicle-mile,Commute,California,California
3944,E1058,2025-01-16,Employee Commuting,Passenger Car,32.0,vehicle-mile,Commute,Florida,Florida
3052,E1014,2025-01-16,Business Travel,Commuter Rail,18.2,passenger-mile,Site Visit,California,Texas
995,E1026,2025-01-16,Employee Commuting,Bus,39.1,passenger-mile,Commute,New York,New York
1864,E1064,2025-01-16,Employee Commuting,Light-Duty Truck,18.0,vehicle-mile,Commute,New York,New York
2038,E1077,2025-01-16,Employee Commuting,Passenger Car,19.7,vehicle-mile,Commute,Texas,Texas
4326,E1070,2025-01-16,Employee Commuting,Passenger Car,10.3,vehicle-mile,Commute,Illinois,Illinois
4412,E1097,2025-01-16,Employee Commuting,Motorcycle,18.3,vehicle-mile,Commute,California,California
3188,E1068,2025-01-16,Employee Commuting,Light-Duty Truck,23.0,vehicle-mile,Commute,Massachusetts,Massachusetts
2798,E1053,2025-01-16,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",19.1,passenger-mile,Commute,California,California
1648,E1049,2025-01-16,Employee Commuting,Passenger Car,25.1,vehicle-mile,Commute,California,California
4417,E1074,2025-01-16,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",1515.0,passenger-mile,Off-site Meeting,California,Other
768,E1084,2025-01-16,Employee Commuting,Passenger Car,23.5,vehicle-mile,Commute,New York,New York
1061,E1033,2025-01-17,Employee Commuting,Passenger Car,21.2,vehicle-mile,Commute,Massachusetts,Massachusetts
4660,E1003,2025-01-17,Business Travel,Air Travel - Long Haul (>= 2300 miles),4031.4,passenger-mile,Site Visit,Colorado,Illinois
1460,E1014,2025-01-17,Employee Commuting,Passenger Car,13.5,vehicle-mile,Commute,California,California
3251,E1084,2025-01-17,Employee Commuting,Passenger Car,23.2,vehicle-mile,Commute,New York,New York
2476,E1019,2025-01-17,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",459.0,passenger-mile,Site Visit,California,Florida
2558,E1077,2025-01-17,Employee Commuting,Light-Duty Truck,39.6,vehicle-mile,Commute,California,California
1883,E1089,2025-01-17,Employee Commuting,Commuter Rail,8.4,passenger-mile,Commute,Massachusetts,Massachusetts
3687,E1082,2025-01-17,Business Travel,Passenger Car,50.5,vehicle-mile,Client Meeting,Texas,New York
316,E1077,2025-01-17,Business Travel,"Air Travel - Medium Haul (>= 300 miles, < 2300 miles)",406.9,passenger-mile,Off-site Meeting,California,Massachusetts
1628,E1091,2025-01-17,Business Travel,Light-Duty Truck,51.9,vehicle-mile,Conference,New York,Florida
474,E1024,2025-01-17,Business Travel,Air Travel - Long Haul (>= 2300 miles),3384.3,passenger-mile,Off-site Meeting,Massachusetts,Florida
2759,E1085,2025-01-17,Employee Commuting,Passenger Car,4.3,vehicle-mile,Commute,Illinois,Illinois
2246,E1013,2025-01-17,Employee Commuting,Passenger Car,23.7,vehicle-mile,Commute,New York,New York
176,E1098,2025-01-17,Employee Commuting,"Transit Rail (i.e. Subway, Tram)",38.6,passenger-mile,Commute,California,California
4820,E1097,2025-01-18,Employee Commuting,Commuter Rail,6.8,passenger-mile,Commute,Florida,Florida
4862,E1077,2025-01-18,Employee Commuting,Light-Duty Truck,24.7,vehicle-mile,Commute,New York,New York
1897,E1096,2025-01-18,Business Travel,Intercity Rail - Northeast Corridor,316.6,passenger-mile,Site Visit,Georgia,Washington
